"Notes"	"Residence State"	"Residence State Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	24792342	Unreliable
	"Alabama"	"01"	"Other external causes of accidental injury"	"W00-X59"	117	24792342	0.5
	"Alabama"	"01"	"Intentional self-harm"	"X60-X84"	2874	24792342	11.6
	"Alabama"	"01"	"Assault"	"X85-Y09"	2792	24792342	11.3
	"Alabama"	"01"	"Event of undetermined intent"	"Y10-Y34"	60	24792342	0.2
	"Alabama"	"01"	"Legal intervention and operations of war"	"Y35-Y36"	31	24792342	0.1
	"Alaska"	"02"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	3665487	Unreliable
	"Alaska"	"02"	"Other external causes of accidental injury"	"W00-X59"	12	3665487	Unreliable
	"Alaska"	"02"	"Intentional self-harm"	"X60-X84"	613	3665487	16.7
	"Alaska"	"02"	"Assault"	"X85-Y09"	187	3665487	5.1
	"Alaska"	"02"	"Event of undetermined intent"	"Y10-Y34"	26	3665487	0.7
	"Alaska"	"02"	"Legal intervention and operations of war"	"Y35-Y36"	17	3665487	Unreliable
	"Arizona"	"04"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	36424396	Unreliable
	"Arizona"	"04"	"Other external causes of accidental injury"	"W00-X59"	51	36424396	0.1
	"Arizona"	"04"	"Intentional self-harm"	"X60-X84"	4302	36424396	11.8
	"Arizona"	"04"	"Assault"	"X85-Y09"	1880	36424396	5.2
	"Arizona"	"04"	"Event of undetermined intent"	"Y10-Y34"	87	36424396	0.2
	"Arizona"	"04"	"Legal intervention and operations of war"	"Y35-Y36"	128	36424396	0.4
	"Arkansas"	"05"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	15113933	Unreliable
	"Arkansas"	"05"	"Other external causes of accidental injury"	"W00-X59"	60	15113933	0.4
	"Arkansas"	"05"	"Intentional self-harm"	"X60-X84"	1782	15113933	11.8
	"Arkansas"	"05"	"Assault"	"X85-Y09"	1255	15113933	8.3
