"Notes"	"Residence State"	"Residence State Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Intentional self-harm"	"X60-X84"	2458	15001286	16.4
	"Alabama"	"01"	"Assault"	"X85-Y09"	2104	15001286	14.0
"Total"	"Alabama"	"01"			4562	15001286	30.4
	"Alaska"	"02"	"Intentional self-harm"	"X60-X84"	624	2196504	28.4
	"Alaska"	"02"	"Assault"	"X85-Y09"	180	2196504	8.2
"Total"	"Alaska"	"02"			804	2196504	36.6
	"Arizona"	"04"	"Intentional self-harm"	"X60-X84"	4439	21974033	20.2
	"Arizona"	"04"	"Assault"	"X85-Y09"	1693	21974033	7.7
"Total"	"Arizona"	"04"			6132	21974033	27.9
	"Arkansas"	"05"	"Intentional self-harm"	"X60-X84"	1747	9082304	19.2
	"Arkansas"	"05"	"Assault"	"X85-Y09"	1043	9082304	11.5
"Total"	"Arkansas"	"05"			2790	9082304	30.7
	"California"	"06"	"Intentional self-harm"	"X60-X84"	12596	117843750	10.7
	"California"	"06"	"Assault"	"X85-Y09"	7026	117843750	6.0
"Total"	"California"	"06"			19622	117843750	16.7
	"Colorado"	"08"	"Intentional self-harm"	"X60-X84"	3971	17431857	22.8
	"Colorado"	"08"	"Assault"	"X85-Y09"	1101	17431857	6.3
"Total"	"Colorado"	"08"			5072	17431857	29.1
	"Connecticut"	"09"	"Intentional self-harm"	"X60-X84"	1163	10768200	10.8
	"Connecticut"	"09"	"Assault"	"X85-Y09"	452	10768200	4.2
"Total"	"Connecticut"	"09"			1615	10768200	15.0
	"Delaware"	"10"	"Intentional self-harm"	"X60-X84"	391	2993577	13.1
	"Delaware"	"10"	"Assault"	"X85-Y09"	250	2993577	8.4
"Total"	"Delaware"	"10"			641	2993577	21.4
	"District of Columbia"	"11"	"Intentional self-harm"	"X60-X84"	127	2052916	6.2
	"District of Columbia"	"11"	"Assault"	"X85-Y09"	569	2052916	27.7
"Total"	"District of Columbia"	"11"			696	2052916	33.9
	"Florida"	"12"	"Intentional self-harm"	"X60-X84"	9921	65295568	15.2
	"Florida"	"12"	"Assault"	"X85-Y09"	4427	65295568	6.8
"Total"	"Florida"	"12"			14348	65295568	22.0
	"Georgia"	"13"	"Intentional self-harm"	"X60-X84"	4788	32309149	14.8
	"Georgia"	"13"	"Assault"	"X85-Y09"	3503	32309149	10.8
"Total"	"Georgia"	"13"			8291	32309149	25.7
	"Hawaii"	"15"	"Intentional self-harm"	"X60-X84"	632	4290112	14.7
	"Hawaii"	"15"	"Assault"	"X85-Y09"	124	4290112	2.9
"Total"	"Hawaii"	"15"			756	4290112	17.6
	"Idaho"	"16"	"Intentional self-harm"	"X60-X84"	1250	5628759	22.2
	"Idaho"	"16"	"Assault"	"X85-Y09"	130	5628759	2.3
"Total"	"Idaho"	"16"			1380	5628759	24.5
	"Illinois"	"17"	"Intentional self-harm"	"X60-X84"	4344	37930468	11.5
	"Illinois"	"17"	"Assault"	"X85-Y09"	4118	37930468	10.9
"Total"	"Illinois"	"17"			8462	37930468	22.3
	"Indiana"	"18"	"Intentional self-harm"	"X60-X84"	3304	20366923	16.2
	"Indiana"	"18"	"Assault"	"X85-Y09"	1787	20366923	8.8
"Total"	"Indiana"	"18"			5091	20366923	25.0
	"Iowa"	"19"	"Intentional self-harm"	"X60-X84"	1691	9549719	17.7
	"Iowa"	"19"	"Assault"	"X85-Y09"	290	9549719	3.0
"Total"	"Iowa"	"19"			1981	9549719	20.7
	"Kansas"	"20"	"Intentional self-harm"	"X60-X84"	1687	8782969	19.2
	"Kansas"	"20"	"Assault"	"X85-Y09"	533	8782969	6.1
"Total"	"Kansas"	"20"			2220	8782969	25.3
	"Kentucky"	"21"	"Intentional self-harm"	"X60-X84"	2439	13496039	18.1
	"Kentucky"	"21"	"Assault"	"X85-Y09"	1155	13496039	8.6
"Total"	"Kentucky"	"21"			3594	13496039	26.6
	"Louisiana"	"22"	"Intentional self-harm"	"X60-X84"	2052	13893412	14.8
	"Louisiana"	"22"	"Assault"	"X85-Y09"	2654	13893412	19.1
"Total"	"Louisiana"	"22"			4706	13893412	33.9
	"Maine"	"23"	"Intentional self-harm"	"X60-X84"	779	4094635	19.0
	"Maine"	"23"	"Assault"	"X85-Y09"	72	4094635	1.8
"Total"	"Maine"	"23"			851	4094635	20.8
	"Maryland"	"24"	"Intentional self-harm"	"X60-X84"	1813	18386060	9.9
	"Maryland"	"24"	"Assault"	"X85-Y09"	1987	18386060	10.8
"Total"	"Maryland"	"24"			3800	18386060	20.7
	"Massachusetts"	"25"	"Intentional self-harm"	"X60-X84"	1844	20863020	8.8
	"Massachusetts"	"25"	"Assault"	"X85-Y09"	498	20863020	2.4
"Total"	"Massachusetts"	"25"			2342	20863020	11.2
	"Michigan"	"26"	"Intentional self-harm"	"X60-X84"	4431	30068177	14.7
	"Michigan"	"26"	"Assault"	"X85-Y09"	2397	30068177	8.0
"Total"	"Michigan"	"26"			6828	30068177	22.7
	"Minnesota"	"27"	"Intentional self-harm"	"X60-X84"	2423	17072122	14.2
	"Minnesota"	"27"	"Assault"	"X85-Y09"	624	17072122	3.7
"Total"	"Minnesota"	"27"			3047	17072122	17.8
	"Mississippi"	"28"	"Intentional self-harm"	"X60-X84"	1305	8866716	14.7
	"Mississippi"	"28"	"Assault"	"X85-Y09"	1804	8866716	20.3
"Total"	"Mississippi"	"28"			3109	8866716	35.1
	"Missouri"	"29"	"Intentional self-harm"	"X60-X84"	3520	18487922	19.0
	"Missouri"	"29"	"Assault"	"X85-Y09"	2241	18487922	12.1
"Total"	"Missouri"	"29"			5761	18487922	31.2
	"Montana"	"30"	"Intentional self-harm"	"X60-X84"	978	3289119	29.7
	"Montana"	"30"	"Assault"	"X85-Y09"	166	3289119	5.0
"Total"	"Montana"	"30"			1144	3289119	34.8
	"Nebraska"	"31"	"Intentional self-harm"	"X60-X84"	877	5864936	15.0
	"Nebraska"	"31"	"Assault"	"X85-Y09"	216	5864936	3.7
"Total"	"Nebraska"	"31"			1093	5864936	18.6
	"Nevada"	"32"	"Intentional self-harm"	"X60-X84"	1990	9426241	21.1
	"Nevada"	"32"	"Assault"	"X85-Y09"	714	9426241	7.6
"Total"	"Nevada"	"32"			2704	9426241	28.7
	"New Hampshire"	"33"	"Intentional self-harm"	"X60-X84"	703	4144259	17.0
	"New Hampshire"	"33"	"Assault"	"X85-Y09"	53	4144259	1.3
"Total"	"New Hampshire"	"33"			756	4144259	18.2
	"New Jersey"	"34"	"Intentional self-harm"	"X60-X84"	2136	27416631	7.8
	"New Jersey"	"34"	"Assault"	"X85-Y09"	1091	27416631	4.0
"Total"	"New Jersey"	"34"			3227	27416631	11.8
	"New Mexico"	"35"	"Intentional self-harm"	"X60-X84"	1573	6338073	24.8
